id,title,description,link,image_link,availability,price,brand,condition,google_product_category,product_type,shipping,mpn
cadiveu-professional-brasil-cacau-1l,Cadiveu Professional Brasil Cacau Alisante 1L,"Tratamento alisante profissional com óleo de cacau que proporciona cabelos lisos, sedosos e com brilho intenso. Reduz o volume e elimina o frizz por até 4 meses.",https://jchairstudios62.xyz/produto/cadiveu-professional-brasil-cacau-1l,https://jchairstudios62.xyz/images/products/cadiveu/cadiveu-1.png,in stock,195.6 EUR,Cadiveu,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CAD-BC-1L-001
cadiveu-professional-brasil-cacau-300ml,Cadiveu Professional Brasil Cacau Alisante 300ml,Versão trial do tratamento alisante profissional com óleo de cacau. Ideal para testar o produto ou cabelos mais curtos.,https://jchairstudios62.xyz/produto/cadiveu-professional-brasil-cacau-300ml,https://jchairstudios62.xyz/images/products/cadiveu/cadiveu-2.png,in stock,124.77 EUR,Cadiveu,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CAD-BC-300-001
forever-liss-btx-zero-formol-250g,Forever Liss BTX Zero Formol 250g,"Botox capilar zero formol que alisa, reconstrói e hidrata profundamente os fios. Resultado natural com redução de volume e frizz.",https://jchairstudios62.xyz/produto/forever-liss-btx-zero-formol-250g,https://jchairstudios62.xyz/images/products/botox/botox_1.png,in stock,20.15 EUR,Forever Liss,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,FL-BTX-250-001
forever-liss-btx-zero-formol-1kg,Forever Liss BTX Zero Formol 1Kg Profissional,"Botox capilar zero formol em tamanho profissional. Ideal para salões e uso intensivo. Alisa, reconstrói e hidrata profundamente os fios.",https://jchairstudios62.xyz/produto/forever-liss-btx-zero-formol-1kg,https://jchairstudios62.xyz/images/products/botox/botox_2.png,in stock,116.95 EUR,Forever Liss,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,FL-BTX-1K-001
btx-professional-premium-01,BTX Professional Premium Reconstruction 01,"Botox capilar premium que reconstrói, alisa e revitaliza os fios intensamente. Fórmula avançada sem formol.",https://jchairstudios62.xyz/produto/btx-professional-premium-01,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8737.png,in stock,31.24 EUR,BTX Pro,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,BP-BTX-001
progressiva-advanced-02,Progressiva Advanced Smooth System 02,Sistema de alisamento avançado que proporciona cabelos perfeitamente lisos com brilho intenso e proteção.,https://jchairstudios62.xyz/produto/progressiva-advanced-02,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8739.png,in stock,145.2 EUR,Smooth System,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,SS-PRO-002
btx-repair-intensive-03,BTX Repair Intensive Treatment 03,Tratamento BTX intensivo especialmente desenvolvido para reparar cabelos extremamente danificados e ressecados.,https://jchairstudios62.xyz/produto/btx-repair-intensive-03,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8740.png,in stock,37.66 EUR,Repair Intensive,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,RI-BTX-003
progressiva-keratin-04,Progressiva Keratin Complex Professional 04,Progressiva enriquecida com complexo de queratina que proporciona máxima suavidade e controle de frizz.,https://jchairstudios62.xyz/produto/progressiva-keratin-04,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8741.png,in stock,128.13 EUR,Keratin Complex,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,KC-PRO-004
btx-collagen-boost-05,BTX Collagen Boost Reconstruction 05,BTX enriquecido com colágeno que reconstrói a fibra capilar e proporciona firmeza e elasticidade aos fios.,https://jchairstudios62.xyz/produto/btx-collagen-boost-05,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8748.png,in stock,34.23 EUR,Collagen Boost,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CB-BTX-005
progressiva-silk-protein-06,Progressiva Silk Protein Advanced 06,Progressiva avançada com proteína da seda que deixa os cabelos extremamente sedosos e com brilho natural.,https://jchairstudios62.xyz/produto/progressiva-silk-protein-06,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8752.png,in stock,110.44 EUR,Silk Protein,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,SP-PRO-006
btx-vitamin-complex-07,BTX Vitamin Complex Revitalizing 07,"BTX enriquecido com complexo vitamínico que revitaliza, nutre e reconstrói os fios de forma profunda.",https://jchairstudios62.xyz/produto/btx-vitamin-complex-07,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8753.png,in stock,38.9 EUR,Vitamin Complex,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,VC-BTX-007
progressiva-nano-technology-08,Progressiva Nano Technology Ultra 08,Progressiva com nanotecnologia avançada que penetra profundamente na fibra capilar para resultados excepcionais.,https://jchairstudios62.xyz/produto/progressiva-nano-technology-08,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8757.png,in stock,162.8 EUR,Nano Tech,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,NT-PRO-008
btx-argan-oil-09,BTX Argan Oil Luxury Treatment 09,BTX premium enriquecido com óleo de argan puro que proporciona nutrição intensa e brilho excepcional.,https://jchairstudios62.xyz/produto/btx-argan-oil-09,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8758.png,in stock,46.46 EUR,Argan Luxury,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,AL-BTX-009
progressiva-diamond-shine-10,Progressiva Diamond Shine Professional 10,"Progressiva premium que proporciona brilho diamante aos cabelos, deixando-os luminosos e perfeitamente lisos.",https://jchairstudios62.xyz/produto/progressiva-diamond-shine-10,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8759.png,in stock,172.04 EUR,Diamond Shine,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,DS-PRO-010
advanced-progressive-system-11,Sistema Progressivo Advanced Premium 11,"Sistema progressivo completo com tecnologia brasileira avançada. Oferece alisamento natural, redução de volume e proteção térmica. Resultados duradouros por até 5 meses.",https://jchairstudios62.xyz/produto/advanced-progressive-system-11,https://jchairstudios62.xyz/images/products/produtos_diversos/16-B50655-4465-477-A-95-C5-48-FC08-AAEAC1.png,in stock,34.14 EUR,Advanced System,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,ADV-PROG-SYS-11
btx-ultra-reconstruction-12,BTX Ultra Reconstruction Therapy 12,"Terapia BTX ultra reconstruction especialmente desenvolvida para cabelos extremamente danificados. Tecnologia molecular que reconstrói a fibra capilar, oferece alisamento suave e proteção máxima.",https://jchairstudios62.xyz/produto/btx-ultra-reconstruction-12,https://jchairstudios62.xyz/images/products/produtos_diversos/1605-BFB8-97-D1-4-EAA-8-EEB-AD95-AD1657-B7.png,in stock,43.03 EUR,Ultra BTX,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,ULTRA-BTX-REC-12
luxury-progressive-gold-13,Luxury Progressive Gold System 13,"Sistema progressivo luxury com micropartículas de ouro. Oferece alisamento premium, brilho extremo e nutrição profunda. Tecnologia exclusiva para resultados profissionais de salão.",https://jchairstudios62.xyz/produto/luxury-progressive-gold-13,https://jchairstudios62.xyz/images/products/produtos_diversos/2-A39-E03-E-0-A0-D-4-F86-8-D5-D-F92-D6-DFE0-DF8.png,in stock,46.02 EUR,Luxury Gold,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,LUX-GOLD-PROG-13
professional-btx-therapy-14,Professional BTX Therapy Advanced 14,"Tratamento BTX therapy profissional enriquecido com aminoácidos essenciais. Reconstrói totalmente a estrutura capilar, oferece alisamento natural e proteção contra danos futuros.",https://jchairstudios62.xyz/produto/professional-btx-therapy-14,https://jchairstudios62.xyz/images/products/produtos_diversos/34-E687-F6-9783-48-DD-BCEF-03743-D43-FD26.png,in stock,36.26 EUR,BTX Therapy,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,BTX-THERAPY-ADV-14
premium-btx-diamond-15,Premium BTX Diamond Collection 15,"Coleção BTX premium diamond com tecnologia de brilho diamante. Oferece reconstrução profunda, alisamento suave e brilho intenso. Fórmula exclusiva com proteínas nobres.",https://jchairstudios62.xyz/produto/premium-btx-diamond-15,https://jchairstudios62.xyz/images/products/produtos_diversos/4-A0-CB406-3-AFE-43-B6-AFAB-6-D330-F38323-D.png,in stock,48.93 EUR,Diamond BTX,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,DIAMOND-BTX-PREM-15
royal-progressive-platinum-16,Royal Progressive Platinum System 16,"Sistema progressivo royal platinum especialmente desenvolvido para cabelos maduros. Tecnologia anti-age que revitaliza, alisa e protege os fios. Resultados profissionais duradouros.",https://jchairstudios62.xyz/produto/royal-progressive-platinum-16,https://jchairstudios62.xyz/images/products/produtos_diversos/4-EFFA98-F-1-FFA-4-A43-97-CA-CE7080-D29-A94.png,in stock,43.82 EUR,Royal Platinum,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,ROYAL-PLAT-PROG-16
professional-color-01,Coloração Profissional Advanced Color 01,Coloração profissional de alta performance com cobertura total e cor duradoura. Fórmula enriquecida com óleos naturais.,https://jchairstudios62.xyz/produto/professional-color-01,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png.png,in stock,17.42 EUR,Advanced Color,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,AC-COL-001
professional-color-02,Coloração Profissional Advanced Color 02,Coloração profissional de alta performance com cobertura total e cor duradoura. Fórmula enriquecida com óleos naturais.,https://jchairstudios62.xyz/produto/professional-color-02,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png-1.png,in stock,17.6 EUR,Advanced Color,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,AC-COL-002
professional-color-03,Coloração Profissional Advanced Color 03,Coloração profissional de alta performance com cobertura total e cor duradoura. Fórmula enriquecida com óleos naturais.,https://jchairstudios62.xyz/produto/professional-color-03,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png-2.png,in stock,17.78 EUR,Advanced Color,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,AC-COL-003
professional-color-04,Coloração Profissional Advanced Color 04,Coloração profissional de alta performance com cobertura total e cor duradoura. Fórmula enriquecida com óleos naturais.,https://jchairstudios62.xyz/produto/professional-color-04,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png-3.png,in stock,17.95 EUR,Advanced Color,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,AC-COL-004
intensive-color-05,Coloração Intensiva Professional 05,Coloração de alta intensidade que proporciona cores vibrantes e cobertura excepcional. Ideal para profissionais.,https://jchairstudios62.xyz/produto/intensive-color-05,https://jchairstudios62.xyz/images/products/produtos_diversos/E50589-AE-AFCE-4-FD5-8-D43-C27-A34-DDEEE0.png,in stock,16.37 EUR,Intensive Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,IP-COL-005
salon-grade-color-06,Coloração Salon Grade Professional 06,Coloração de qualidade de salão que oferece resultados consistentes e cores perfeitas. Desenvolvida para profissionais.,https://jchairstudios62.xyz/produto/salon-grade-color-06,https://jchairstudios62.xyz/images/products/produtos_diversos/E56-EA869-F48-B-4925-A000-3-D712-D35-B1-C2.png,in stock,18.66 EUR,Salon Grade,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,SG-COL-006
ultra-color-07,Ultra Color Professional 07,Coloração com tecnologia ultra avançada que garante máxima durabilidade e cores extraordinárias.,https://jchairstudios62.xyz/produto/ultra-color-07,https://jchairstudios62.xyz/images/products/produtos_diversos/EE902623-2-BC1-445-D-9-D31-071404310-ADE.png,in stock,20.06 EUR,Ultra Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,UP-COL-007
master-color-08,Master Color Professional 08,Coloração desenvolvida especialmente para mestres cabeleireiros que exigem perfeição em cada aplicação.,https://jchairstudios62.xyz/produto/master-color-08,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8698.png,in stock,21.56 EUR,Master Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,MP-COL-008
elite-color-09,Elite Color Professional 09,Coloração da linha elite que proporciona resultados excepcionais com cores ricas e vibrantes.,https://jchairstudios62.xyz/produto/elite-color-09,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8711.png,in stock,22.18 EUR,Elite Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,EP-COL-009
platinum-color-10,Platinum Color Professional 10,Coloração platinum que representa o máximo em qualidade e performance para profissionais exigentes.,https://jchairstudios62.xyz/produto/platinum-color-10,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8712.png,in stock,23.58 EUR,Platinum Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,PP-COL-010
advanced-treatment-system-16,Advanced Treatment System Recovery 16,"Sistema de tratamento advanced recovery especialmente desenvolvido para cabelos severamente danificados. Tecnologia molecular que reconstrói, nutre e protege os fios em profundidade.",https://jchairstudios62.xyz/produto/advanced-treatment-system-16,https://jchairstudios62.xyz/images/products/produtos_diversos/A34-CFBA7-444-D-42-D8-999-F-F0-F4-CBCC9-FDE.png,in stock,26.22 EUR,Advanced Treatment,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,ADV-TREAT-REC-16
intensive-repair-therapy-17,Intensive Repair Therapy Gold 17,"Terapia de reparação intensiva enriquecida com micropartículas de ouro. Oferece reparação profunda, nutrição intensa e brilho dourado aos cabelos. Tecnologia premium.",https://jchairstudios62.xyz/produto/intensive-repair-therapy-17,https://jchairstudios62.xyz/images/products/produtos_diversos/C169-E200-8976-49-A0-A11-D-1-CE29-D126301.png,in stock,31.33 EUR,Repair Therapy,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,INT-REPAIR-GOLD-17
professional-nutrition-complex-18,Professional Nutrition Complex Platinum 18,"Complexo de nutrição profissional platinum com ingredientes nobres. Oferece nutrição máxima, maciez extrema e proteção duradoura. Fórmula exclusiva para salões.",https://jchairstudios62.xyz/produto/professional-nutrition-complex-18,https://jchairstudios62.xyz/images/products/produtos_diversos/CEC1-A0-BB-3-DC0-4-B31-AD8-B-B89-A11-A599-AD.png,in stock,37.22 EUR,Nutrition Complex,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,PROF-NUTR-PLAT-18
ultra-hydration-therapy-19,Ultra Hydration Therapy Diamond 19,"Terapia de hidratação ultra diamond com tecnologia de brilho extremo. Oferece hidratação profunda, elimina o frizz e proporciona brilho diamante aos cabelos.",https://jchairstudios62.xyz/produto/ultra-hydration-therapy-19,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png-1.png,in stock,34.23 EUR,Hydration Therapy,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,ULTRA-HYDR-DIAM-19
regenerative-treatment-premium-20,Regenerative Treatment Premium System 20,Sistema de tratamento regenerativo premium que promove a regeneração total dos fios. Tecnologia avançada com células-tronco vegetais e aminoácidos essenciais.,https://jchairstudios62.xyz/produto/regenerative-treatment-premium-20,https://jchairstudios62.xyz/images/products/produtos_diversos/Design-sem-nome-png-2.png,in stock,40.3 EUR,Regenerative Pro,new,Health & Beauty > Personal Care,coloracao-capilar,PT::Standard:4.90 EUR,REGEN-TREAT-PREM-20
bruna-tavares-bt-skin-d30,Base BT Skin D30 - Tom Escuro,"Base líquida BT Skin com fórmula avançada, cobertura natural e alta pigmentação. Desenvolvida com ácido hialurônico para hidratação prolongada e ativos que aumentam a energia celular.",https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-d30,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin D30 Base Bruna Tavares.png,in stock,24.2 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-D30-001
bruna-tavares-bt-skin-f10,Base BT Skin F10 - Tom Claro,Base líquida BT Skin especialmente desenvolvida para peles claras com subtom frio. Fórmula com ácido hialurônico e proteção contra luz azul.,https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-f10,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin F10 Base Bruna Tavares.png,in stock,24.2 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-F10-001
bruna-tavares-bt-skin-m20,Base BT Skin M20 - Tom Médio,Base líquida BT Skin para peles médias com subtom quente. Acabamento natural aveludado com tecnologia brasileira de ponta.,https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-m20,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin M20 Base Bruna Tavares.png,in stock,24.2 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-M20-001
mari-maria-base-amndoa,Base Mari Maria - Tom Amêndoa,Base líquida profissional Mari Maria no tom Amêndoa. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-amndoa,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-amndoa.png,in stock,1 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-AMNDOA
teste-juliana,Teste Juliana,"Produto especial criado para teste do sistema de e-commerce. Perfeito para validar funcionalidades de compra, pagamento e notificações.",https://jchairstudios62.xyz/produto/teste-juliana,https://jchairstudios62.xyz/images/products/placeholder-product.jpg,in stock,1 EUR,JC Hair Studio,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,TJ-TEST-001
mari-maria-base-baunilha,Base Mari Maria - Tom Baunilha,Base líquida profissional Mari Maria no tom Baunilha. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-baunilha,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-baunilha.png,in stock,28.56 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-BAUNILHA
mari-maria-base-bege-claro,Base Mari Maria - Tom Bege Claro,Base líquida profissional Mari Maria no tom Bege Claro. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-bege-claro,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-bege-claro.png,in stock,29.36 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-BEGE-CLARO
mari-maria-base-bege-escuro,Base Mari Maria - Tom Bege Escuro,Base líquida profissional Mari Maria no tom Bege Escuro. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-bege-escuro,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-bege-escuro.png,in stock,29.76 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-BEGE-ESCURO
mari-maria-base-bege-medio,Base Mari Maria - Tom Bege Médio,Base líquida profissional Mari Maria no tom Bege Médio. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-bege-medio,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-bege-mdio.png,in stock,30.16 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-BEGE-MEDIO
mari-maria-base-cacau,Base Mari Maria - Tom Cacau,Base líquida profissional Mari Maria no tom Cacau. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-cacau,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-cacau.png,in stock,30.56 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-CACAU
mari-maria-base-canela,Base Mari Maria - Tom Canela,Base líquida profissional Mari Maria no tom Canela. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-canela,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-canela.png,in stock,30.96 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-CANELA
mari-maria-base-caramelo,Base Mari Maria - Tom Caramelo,Base líquida profissional Mari Maria no tom Caramelo. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-caramelo,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-caramelo.png,in stock,31.36 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-CARAMELO
mari-maria-base-chocolate,Base Mari Maria - Tom Chocolate,Base líquida profissional Mari Maria no tom Chocolate. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-chocolate,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-chocolate.png,in stock,31.76 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-CHOCOLATE
mari-maria-base-nude,Base Mari Maria - Tom Nude,Base líquida profissional Mari Maria no tom Nude. Acabamento natural e cobertura modulável para todos os tipos de pele.,https://jchairstudios62.xyz/produto/mari-maria-base-nude,https://jchairstudios62.xyz/images/products/mari-maria-bases/mari-maria-base-nude.png,in stock,32.16 EUR,Mari Maria,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,MM-BASE-NUDE
bruna-tavares-bt-skin-d10,Base BT Skin D10 - Tom Dourado,Base líquida BT Skin para peles de tom dourado. Tecnologia brasileira com acabamento natural aveludado e longa duração.,https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-d10,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin D10 Base Bruna Tavares.png,in stock,22 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-D10
bruna-tavares-bt-skin-d20,Base BT Skin D20 - Tom Dourado,Base líquida BT Skin para peles de tom dourado. Tecnologia brasileira com acabamento natural aveludado e longa duração.,https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-d20,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin D20 Base Bruna Tavares.png,in stock,22.25 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-D20
bruna-tavares-bt-skin-d40,Base BT Skin D40 - Tom Dourado,Base líquida BT Skin para peles de tom dourado. Tecnologia brasileira com acabamento natural aveludado e longa duração.,https://jchairstudios62.xyz/produto/bruna-tavares-bt-skin-d40,https://jchairstudios62.xyz/images/products/bruna-tavares-bt-skin/BT Skin D40 Base Bruna Tavares.png,in stock,22.75 EUR,Bruna Tavares,new,Health & Beauty > Personal Care,maquiagem-premium,PT::Standard:4.90 EUR,BT-SKIN-D40
